subject_id,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X1_10,X1_11,X1_12,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,X2_8,X2_9,X2_10,X2_11,X2_12,X3_1,X3_2,X3_3,X3_4,X3_5,X3_6,X3_7,X3_8,X3_9,X3_10,X3_11,X3_12,X4_1,X4_2,X4_3,X4_4,X4_5,X4_6,X4_7,X4_8,X4_9,X4_10,X4_11,X4_12,X5_1,X5_2,X5_3,X5_4,X5_5,X5_6,X5_7,X5_8,X5_9,X5_10,X5_11,X5_12,X6_1,X6_2,X6_3,X6_4,X6_5,X6_6,X6_7,X6_8,X6_9,X6_10,X6_11,X6_12,X7_1,X7_2,X7_3,X7_4,X7_5,X7_6,X7_7,X7_8,X7_9,X7_10,X7_11,X7_12,class
0,1.860936,-0.207383,0.261557,-0.214562,-0.171253,-0.118167,-0.277557,0.025668,0.126701,-0.306756,-0.213076,0.088728,1.891651,-0.193249,0.235363,-0.249118,-0.11289,-0.112238,-0.311997,-0.027122,0.171457,-0.289431,-0.247722,0.093011,1.939205,-0.239664,0.258561,-0.291458,-0.041053,-0.102034,-0.3833,0.019013,0.16951,-0.314894,-0.227908,0.074638,1.717517,-0.218572,0.217119,-0.228186,-0.018608,-0.137624,-0.403318,-0.009643,0.164607,-0.323267,-0.210105,0.098098,1.741191,-0.279891,0.196583,-0.236377,-0.032012,-0.090612,-0.363134,-0.012571,0.124298,-0.351171,-0.216545,0.113899,1.684695,-0.311977,0.195453,-0.23197,-0.06867,-0.003822,-0.34194,-0.008826,0.085097,-0.364329,-0.204794,0.101838,1.637373,-0.336227,0.152766,-0.223842,-0.026278,-0.009157,-0.363866,-0.003117,0.055479,-0.358107,-0.181643,0.082056,C1
1,1.303905,0.067256,0.59772,-0.271474,-0.236808,-0.411125,-0.014826,0.113175,-0.05823,-0.173138,0.093058,0.099247,1.28828,0.018672,0.631579,-0.355112,-0.119216,-0.434425,-0.078036,0.178121,-0.10643,-0.18191,0.093031,0.099183,1.332021,-0.058744,0.601928,-0.347913,-0.053463,-0.421753,-0.028479,0.145073,-0.159488,-0.127751,0.019092,0.113546,1.43655,-0.206565,0.641775,-0.391073,-0.103646,-0.227374,-0.070016,0.138611,-0.125229,-0.182744,-0.021516,0.065927,1.510069,-0.30888,0.614297,-0.283639,-0.178763,-0.267168,-0.03463,0.160095,-0.098749,-0.220531,-0.061329,0.09364,1.492324,-0.413803,0.583179,-0.197519,-0.242376,-0.23451,-0.026315,0.178486,-0.12212,-0.256385,-0.038403,0.06447,1.731416,-0.615714,0.624905,-0.241347,-0.158116,-0.18676,-0.01546,0.09242,-0.203755,-0.1862,-0.100484,0.045003,C1
2,1.462484,0.174066,0.505133,-0.374302,-0.362125,-0.400335,-0.137429,-0.00083,0.053888,-0.23763,0.120636,0.193254,1.309815,0.120183,0.503046,-0.327562,-0.356789,-0.445498,-0.060423,-0.007899,0.041605,-0.231087,0.121053,0.202386,1.418207,0.015721,0.589994,-0.310586,-0.477019,-0.367101,-0.120849,0.066952,-0.023859,-0.224317,0.175298,0.15667,1.585858,-0.148691,0.696888,-0.433672,-0.369871,-0.325267,-0.192924,0.12444,-0.041498,-0.20858,0.129806,0.146745,1.651997,-0.17902,0.55765,-0.35244,-0.286346,-0.303667,-0.210818,0.104599,0.040954,-0.219516,0.022768,0.187322,1.486123,-0.091183,0.336031,-0.131567,-0.333492,-0.258345,-0.201333,0.043862,0.073675,-0.24716,-0.002587,0.190969,1.612464,-0.274628,0.390098,-0.212909,-0.22267,-0.244786,-0.217033,0.010084,0.049756,-0.24424,-0.040954,0.207889,C1
3,1.160837,0.078806,0.237706,-0.010878,-0.393053,-0.744686,0.173073,-0.012922,-0.071948,0.028707,0.07482,0.146297,1.217979,-0.043693,0.378571,-0.055125,-0.399601,-0.756213,0.189754,0.014265,-0.099093,0.03897,0.049702,0.164537,1.234654,-0.107083,0.504189,-0.151549,-0.409837,-0.666554,0.176855,0.024257,-0.085188,0.005654,-0.007566,0.168465,1.457268,-0.318523,0.427336,-0.127365,-0.399821,-0.612514,0.236434,0.039318,-0.129377,-0.053426,-0.064975,0.131102,1.534783,-0.414512,0.273407,-0.008643,-0.452153,-0.532525,0.275157,0.032256,-0.135727,-0.158885,-0.070709,0.073425,1.505516,-0.466125,0.317178,-0.06588,-0.476936,-0.353201,0.165807,0.006522,-0.077765,-0.253737,-0.153013,0.116918,1.552154,-0.535885,0.410055,-0.182647,-0.438259,-0.233271,0.085723,0.030157,-0.077588,-0.336853,-0.190216,0.165516,C1
4,1.66567,-0.251224,0.30971,-0.371666,-0.311727,-0.520932,-0.21593,0.255584,0.048732,-0.115333,0.063014,0.156787,1.685376,-0.305126,0.339418,-0.455499,-0.259315,-0.5026,-0.195365,0.185427,0.076114,-0.106838,-0.036998,0.200715,1.541171,-0.238987,0.295073,-0.447638,-0.200163,-0.495071,-0.189373,0.123212,0.130086,-0.125721,-0.100226,0.232676,1.479049,-0.278182,0.351733,-0.476356,-0.134112,-0.463027,-0.258962,0.179394,0.077287,-0.15946,-0.060428,0.203395,1.602405,-0.359135,0.370285,-0.490972,-0.114847,-0.473727,-0.209386,0.131919,0.008094,-0.178367,-0.121264,0.271936,1.616784,-0.373741,0.264209,-0.391096,-0.06592,-0.523488,-0.100301,0.046133,-0.076248,-0.176394,-0.157841,0.329654,1.560852,-0.32432,0.08428,-0.169021,-0.058893,-0.557847,-0.032517,0.049321,-0.134548,-0.193288,-0.088907,0.251756,C1
5,1.316781,0.208962,0.247252,-0.122314,-0.291894,-0.538407,0.038262,0.028536,-0.165629,-0.145149,0.112608,0.108192,1.546594,0.153905,0.208579,-0.126525,-0.347069,-0.575495,0.129119,0.029862,-0.12089,-0.077795,0.037846,0.080831,1.608876,-0.017998,0.340853,-0.161172,-0.493625,-0.438199,0.073069,0.037607,-0.038292,-0.169238,0.028236,0.109325,1.500528,-0.028411,0.437274,-0.334035,-0.433048,-0.348928,0.077534,0.009284,-0.036945,-0.234477,0.021624,0.162682,1.310997,-0.030111,0.507571,-0.491682,-0.360644,-0.290714,0.133114,-0.011299,-0.103233,-0.171606,-0.033292,0.112799,1.321061,-0.043778,0.324998,-0.320261,-0.36592,-0.236857,0.057422,-0.029263,-0.095248,-0.267429,0.003456,0.12095,1.450239,-0.080798,0.204418,-0.149472,-0.341621,-0.215631,-0.077424,-0.005952,-0.121362,-0.375987,0.066614,0.210394,C1
6,1.298242,-0.145848,0.602439,-0.558909,-0.063299,-0.371642,0.001086,0.285956,-0.238774,-0.188824,-0.040123,0.122868,1.284513,-0.115359,0.509488,-0.524351,-0.097627,-0.352564,0.080347,0.182553,-0.266852,-0.167901,-0.049674,0.124165,1.366785,-0.177232,0.502441,-0.571654,-0.079904,-0.33902,0.067623,0.103885,-0.276118,-0.120408,-0.105818,0.15972,1.372831,-0.191557,0.459848,-0.499487,-0.03967,-0.333126,-0.005106,0.087083,-0.247359,-0.152682,-0.067913,0.176425,1.417637,-0.157945,0.520153,-0.572629,-0.039446,-0.253199,-0.059307,0.048715,-0.282594,-0.206558,-0.00389,0.169362,1.417835,-0.099372,0.471114,-0.595027,0.110219,-0.337169,-0.115554,0.069107,-0.374232,-0.216007,0.012745,0.177393,1.350428,-0.133935,0.443349,-0.452326,0.159401,-0.351955,-0.156536,-0.013074,-0.340212,-0.219998,0.022386,0.208493,C1
7,1.685639,-0.170479,0.57703,-0.756917,-0.033735,-0.338705,-0.430485,0.307383,0.000945,-0.126192,0.000879,-0.047986,1.698825,-0.245514,0.501133,-0.663925,-0.039698,-0.355668,-0.405613,0.299955,0.019627,-0.144827,-0.054213,-0.052114,1.750511,-0.308582,0.53531,-0.715814,0.040141,-0.356215,-0.477349,0.336016,-0.000313,-0.211349,-0.082473,-0.037075,1.67545,-0.310491,0.588458,-0.709855,0.094683,-0.328834,-0.479756,0.345373,-0.04262,-0.277127,-0.086374,-0.001209,1.677717,-0.331005,0.557505,-0.691774,0.167053,-0.277809,-0.484052,0.29072,-0.081371,-0.311812,-0.0978,0.034412,1.686637,-0.387487,0.531985,-0.589601,0.204824,-0.281143,-0.547638,0.219321,-0.089845,-0.316456,-0.062805,0.048987,1.588764,-0.408304,0.438431,-0.431921,0.208249,-0.252435,-0.501121,0.146282,-0.083805,-0.342953,-0.051415,0.086083,C1
8,1.516243,-0.421519,0.310573,-0.202095,-0.320116,-0.217247,-0.027017,0.267714,0.051747,-0.261525,-0.086583,0.102423,1.522134,-0.242862,0.281658,-0.276902,-0.295546,-0.091977,-0.070047,0.176537,0.009498,-0.388598,-0.030845,0.19656,1.538597,-0.145072,0.238779,-0.268656,-0.358038,0.023831,-0.070798,0.102855,-0.009672,-0.438297,-0.022689,0.235453,1.4958,-0.15284,0.158021,-0.257449,-0.287451,0.015743,-0.100512,0.091736,0.000477,-0.498749,-0.047789,0.25729,1.664994,-0.442855,0.293956,-0.263568,-0.169211,0.051132,-0.189122,0.112994,0.003736,-0.482284,-0.088953,0.250057,1.69838,-0.544536,0.266387,-0.134894,-0.073217,0.12754,-0.288386,-0.00397,0.035204,-0.40045,-0.130278,0.213545,1.729965,-0.591056,0.34575,-0.121536,0.036976,0.156905,-0.287593,-0.141473,-0.041858,-0.323904,-0.09804,0.182918,C1
9,1.720754,0.010479,0.354998,-0.515847,0.032954,-0.492904,-0.176563,0.225939,-0.120848,-0.146941,-0.11194,0.069714,1.754186,-0.146909,0.360816,-0.397811,0.075221,-0.4497,-0.190746,0.252474,-0.149821,-0.132267,-0.126921,0.021162,1.434685,-0.08974,0.268809,-0.283737,0.044152,-0.267194,-0.21518,0.177159,-0.114408,-0.200048,-0.110405,-0.009389,1.236936,-0.134536,0.200361,-0.205342,0.115107,-0.144189,-0.198622,0.060671,-0.167579,-0.23664,-0.135416,0.047944,1.505293,-0.419218,0.280057,-0.222245,0.207489,-0.061682,-0.215156,0.015237,-0.154116,-0.324812,-0.185479,0.112412,1.537248,-0.475625,0.368875,-0.140776,0.18437,-0.00548,-0.206548,-0.078896,-0.176412,-0.349618,-0.135382,0.179044,1.565709,-0.440394,0.227486,0.119799,0.182469,-0.028131,-0.22007,-0.119116,-0.233638,-0.336039,-0.020578,0.18408,C1
