"subject_id","V1__1","V2__1","V1__2","V2__2","V1__3","V2__3","V1__4","V2__4","V1__5","V2__5","V1__6","V2__6","V1__7","V2__7","V1__8","V2__8"
"0","a","d","b","d","d","d","c","b","c","a","a","a","b","b","d","b"
"1","a","d","b","d","d","d","c","b","a","a","a","b","c","a","d","a"
"2","b","d","a","b","d","c","d","a","a","a","a","b","b","d","d","d"
"3","b","c","a","d","c","d","d","d","d","c","c","b","b","a","b","a"
"4","d","d","b","d","a","c","c","c","d","c","d","b","c","a","a","a"
"5","b","c","a","c","a","a","c","a","d","b","d","d","c","d","b","c"
"6","b","d","b","d","a","b","a","b","c","b","d","c","d","b","d","a"
"7","b","d","a","c","a","b","a","a","c","a","d","b","d","c","c","d"
"8","a","d","a","c","a","b","d","b","d","d","c","c","c","b","d","a"
"9","b","d","a","b","d","b","d","a","a","a","a","c","b","d","d","d"
"10","b","d","c","d","d","d","c","c","b","b","a","a","b","a","d","a"
"11","c","d","d","d","d","d","b","c","a","b","c","b","b","a","a","a"
"12","a","b","a","c","c","d","d","d","d","d","c","b","c","a","b","a"
"13","d","d","c","d","a","d","b","c","d","b","d","a","b","a","a","a"
"14","a","d","b","d","c","d","c","c","b","b","a","a","c","a","d","a"
"15","b","d","b","d","d","d","b","c","c","c","d","a","c","a","a","a"
"16","a","c","a","c","c","d","d","d","d","c","c","b","c","a","b","a"
"17","a","d","b","d","c","d","c","b","a","a","a","b","c","b","d","a"
"18","a","d","b","d","d","d","c","b","c","a","b","a","b","b","d","b"
"19","b","d","a","c","c","b","c","a","a","a","a","c","c","d","d","d"
"20","b","d","a","c","a","b","b","a","d","a","d","b","d","d","b","d"
"21","c","d","b","d","a","c","a","b","c","b","d","c","d","b","c","a"
"22","d","d","c","d","a","d","a","b","a","a","d","a","d","b","b","a"
"23","d","c","c","d","a","d","b","b","d","a","a","a","b","b","d","c"
"24","d","d","d","d","c","c","a","c","a","b","b","a","c","a","a","a"
"25","a","d","a","d","a","b","b","b","d","c","d","c","d","a","c","a"
"26","a","d","b","d","b","c","b","b","a","a","b","a","d","a","d","a"
"27","a","c","b","d","d","d","d","c","b","b","a","a","b","a","d","a"
"28","c","d","c","b","c","a","a","a","a","a","a","c","c","d","d","d"
"29","b","d","a","b","b","a","d","a","d","b","d","c","b","d","a","c"
"30","a","b","a","c","c","d","d","d","d","c","c","b","b","a","b","a"
"31","b","d","b","d","c","d","c","c","a","a","a","a","c","a","d","a"
"32","a","d","a","d","d","d","d","c","b","b","a","a","b","a","d","a"
"33","b","d","a","d","a","c","a","b","d","b","d","c","c","b","c","a"
"34","b","d","c","d","d","d","c","d","a","c","c","b","c","a","a","a"
"35","c","c","a","b","a","a","c","a","d","c","d","d","b","d","a","b"
"36","a","c","b","d","d","d","c","c","c","b","a","a","b","a","d","a"
"37","d","d","b","d","a","c","a","a","c","a","d","b","c","b","a","a"
"38","a","c","a","a","c","a","d","a","d","c","c","d","a","d","a","c"
"39","c","d","d","d","d","d","b","c","b","c","c","b","b","a","a","a"
"40","b","c","a","b","b","a","d","a","d","b","d","d","b","d","a","c"
"41","d","c","a","d","a","c","b","c","d","d","d","c","c","a","c","a"
"42","a","d","b","d","c","c","c","b","c","a","b","a","b","b","d","b"
"43","b","d","b","d","d","d","b","c","a","b","a","a","c","a","d","a"
"44","a","c","b","d","d","d","c","c","a","b","a","a","c","a","d","a"
"45","d","d","b","c","b","a","a","a","a","a","c","b","d","d","c","d"
"46","a","c","c","d","d","d","b","c","d","b","d","a","b","a","a","a"
"47","d","d","c","d","b","c","a","b","a","a","c","a","d","b","a","b"
"48","a","d","c","d","d","d","b","c","c","b","d","a","c","a","a","a"
"49","a","c","b","c","c","d","d","d","c","c","c","b","c","a","c","a"
"50","d","d","c","d","b","c","d","c","c","c","c","b","b","a","a","a"
"51","a","d","b","d","d","d","d","c","c","b","c","b","b","a","a","a"
"52","d","c","b","c","a","d","b","d","d","c","d","b","c","a","a","a"
"53","a","c","d","d","c","d","a","c","d","b","d","a","a","a","b","b"
"54","a","c","b","d","c","d","c","c","b","b","a","a","c","a","d","a"
"55","a","d","b","d","c","d","c","b","c","a","b","a","b","b","d","b"
"56","d","d","d","d","b","c","a","b","a","a","c","a","d","b","a","b"
"57","a","c","b","c","d","d","d","d","d","c","c","b","b","a","a","a"
"58","c","c","c","b","d","a","a","a","a","b","c","c","d","d","a","d"
"59","d","c","b","c","a","d","c","d","d","c","c","b","b","a","a","a"
"60","b","d","b","d","a","b","d","b","d","b","c","c","b","b","a","a"
"61","b","d","a","c","a","a","d","a","d","c","c","d","c","b","c","a"
"62","a","c","b","c","d","d","d","d","c","c","c","b","c","a","b","a"
"63","c","d","c","c","d","a","a","a","a","a","d","c","d","d","a","d"
"64","c","d","d","d","d","d","c","c","b","b","a","a","a","a","c","a"
"65","a","b","a","c","c","d","d","d","d","c","c","b","b","a","b","a"
"66","a","d","b","d","c","c","c","b","c","a","b","a","b","b","d","b"
"67","b","d","c","d","d","d","c","b","a","a","a","b","b","b","d","a"
"68","a","c","c","d","d","d","c","c","b","b","a","a","b","a","d","a"
"69","d","d","c","d","b","c","a","b","a","a","c","a","d","b","a","b"
"70","b","d","a","d","a","c","b","b","d","b","d","c","c","b","b","a"
"71","a","d","b","d","d","d","c","b","c","a","b","a","b","b","d","b"
"72","d","d","c","d","a","d","a","b","c","c","d","a","b","a","a","a"
"73","b","d","a","b","a","a","c","a","d","b","d","d","b","d","a","c"
"74","d","d","c","c","a","c","b","d","d","c","c","b","b","a","a","a"
"75","c","d","b","d","a","c","a","b","b","a","d","a","d","b","b","b"
"76","d","d","c","d","a","c","a","b","c","a","d","b","c","b","a","b"
"77","a","b","a","c","c","d","d","d","d","c","c","b","b","a","a","a"
"78","a","c","b","d","d","d","d","c","c","b","d","a","b","a","a","a"
"79","b","c","b","d","d","d","d","c","c","b","b","a","a","b","c","a"
"80","d","d","b","d","a","c","a","b","b","a","d","a","d","b","b","b"
"81","a","c","b","d","d","d","c","c","c","b","d","a","b","a","a","a"
"82","d","d","c","d","a","d","c","b","b","a","a","a","b","b","d","c"
"83","a","d","b","d","d","c","c","b","b","a","a","a","b","b","d","b"
"84","c","c","b","c","a","d","d","d","d","c","d","b","b","a","a","a"
"85","d","d","b","d","a","c","c","c","d","c","d","a","b","a","a","a"
"86","b","d","a","d","a","b","a","b","c","b","d","c","d","b","d","a"
"87","a","d","c","d","d","d","c","c","d","b","d","a","b","a","a","a"
"88","c","d","c","c","d","b","d","a","a","a","c","b","c","d","a","d"
"89","a","a","b","b","c","c","d","d","d","d","c","c","b","b","a","a"
"90","a","c","a","d","d","d","c","d","b","c","b","b","c","a","d","a"
"91","d","d","c","d","b","c","a","b","a","a","d","a","c","b","a","b"
"92","b","d","c","d","d","d","c","c","b","b","a","a","b","a","d","a"
"93","c","d","d","d","d","d","c","c","c","b","c","a","a","a","a","a"
"94","a","d","c","d","d","c","c","a","b","a","a","b","b","b","d","b"
"95","b","d","a","b","d","c","b","d","a","b","d","c","d","a","b","a"
"96","a","d","b","d","c","d","b","c","d","c","d","b","c","a","a","a"
"97","c","d","b","d","a","c","a","b","d","b","d","c","c","a","b","a"
"98","c","d","a","d","a","c","c","d","d","c","d","b","c","a","a","a"
"99","d","d","d","d","b","d","a","c","a","b","b","a","c","a","b","b"
"100","a","d","b","d","c","d","b","c","c","b","d","a","c","a","a","a"
"101","d","d","d","d","c","c","b","b","a","a","b","a","c","b","a","b"
"102","c","c","c","d","a","d","c","c","d","c","d","a","b","a","a","a"
"103","c","c","d","c","a","c","a","d","c","d","d","c","d","a","b","a"
"104","a","d","c","c","c","d","a","c","d","c","d","b","c","a","a","a"
"105","b","d","a","b","a","a","c","a","d","a","d","c","c","d","a","c"
"106","c","d","c","d","b","c","a","b","a","a","d","a","d","b","c","a"
"107","b","d","c","d","d","d","d","c","b","b","a","a","a","a","c","a"
"108","b","d","b","b","c","b","b","a","a","a","a","c","c","d","d","d"
"109","a","d","b","d","d","d","d","c","c","a","a","a","a","b","d","b"
