subject_id,X1_1,X1_2,X2_1,X2_2,X3_1,X3_2,X4_1,X4_2,X5_1,X5_2,X6_1,X6_2,X7_1,X7_2,X8_1,X8_2,class
0,0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,C7
1,12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,C2
2,45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,C5
3,22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,C7
4,89,87,38,100,17,78,80,77,100,76,92,34,61,0,0,4,C9
5,38,73,5,64,0,15,53,0,98,34,100,83,47,100,20,60,C0
6,42,100,34,73,0,42,2,42,62,36,100,59,92,35,87,0,C4
7,50,86,17,60,0,27,21,0,70,9,100,37,91,70,63,100,C0
8,15,97,0,76,33,46,95,59,100,100,83,83,87,41,97,0,C4
9,17,89,0,55,65,58,69,11,11,0,10,60,31,100,100,96,C5
10,43,75,61,100,94,86,75,47,43,14,0,2,49,0,100,1,C2
11,66,91,100,100,90,89,53,77,29,52,58,30,38,4,0,0,C5
12,0,44,30,61,67,80,100,100,96,80,83,53,68,26,62,0,C1
13,100,98,58,100,29,81,55,55,87,32,81,4,39,0,0,1,C5
14,11,72,39,100,62,77,50,42,24,12,0,0,50,3,100,3,C2
15,45,87,41,100,89,96,54,65,68,55,100,26,60,0,0,3,C3
16,0,61,33,71,66,86,100,100,94,77,79,52,66,26,62,0,C1
17,0,77,33,100,55,71,45,35,14,8,9,19,56,17,100,0,C2
18,0,87,46,100,88,85,73,43,65,0,36,18,46,42,100,50,C7
19,13,98,0,74,51,57,32,0,2,22,4,85,41,100,100,100,C5
20,26,91,0,80,2,34,33,0,80,8,100,50,82,92,38,100,C0
21,60,100,40,81,0,54,2,43,60,34,100,57,82,36,71,0,C4
22,93,93,60,100,19,71,0,39,23,8,100,9,86,26,38,0,C6
23,81,69,63,100,0,82,41,41,81,0,19,3,41,44,100,74,C8
24,100,100,78,91,45,70,18,47,0,22,21,0,64,11,16,15,C6
25,34,100,34,76,0,49,58,47,100,57,100,56,90,26,82,0,C4
26,8,98,25,100,29,64,21,29,0,2,33,2,67,3,100,0,C2
27,30,63,44,100,89,96,77,56,40,24,0,11,51,19,100,0,C2
28,41,95,44,61,58,30,13,0,0,30,3,80,44,100,100,94,C5
29,29,96,15,53,33,12,79,0,100,38,82,80,38,100,0,74,C0
30,0,47,23,66,61,83,100,100,89,75,72,50,53,25,48,0,C1
31,20,63,29,100,58,76,44,36,11,4,0,1,50,0,100,1,C2
32,15,76,23,100,81,95,78,62,43,35,0,10,38,0,100,3,C2
33,46,100,26,74,0,47,20,25,84,33,100,55,76,28,69,0,C4
34,36,91,62,98,100,100,44,94,1,65,46,44,51,0,0,2,C5
35,58,62,8,46,12,0,67,15,100,56,90,100,34,81,0,41,C0
36,0,62,30,90,70,100,57,61,48,22,7,0,36,2,100,3,C1
37,100,100,47,88,18,55,16,18,57,0,95,29,51,38,0,16,C6
38,7,54,8,14,56,0,99,24,100,68,63,100,12,97,0,56,C0
39,57,96,100,100,81,95,40,85,30,60,57,32,40,3,0,0,C5
40,16,68,0,40,26,0,73,10,100,50,82,93,32,100,1,73,C0
41,100,87,40,100,0,78,60,65,100,90,94,65,83,32,79,0,C9
42,0,98,43,100,68,70,66,35,56,0,39,32,49,51,100,55,C7
43,23,78,26,100,62,85,34,55,0,27,1,0,51,0,100,7,C2
44,25,67,41,100,80,91,61,53,24,26,0,15,49,6,100,0,C2
45,70,99,42,69,35,30,0,0,19,29,60,58,100,88,54,100,C8
46,35,73,63,100,97,87,58,64,100,44,100,11,50,0,0,8,C3
47,100,100,54,88,22,64,0,35,6,7,57,0,65,21,14,21,C6
48,19,93,66,100,78,78,41,58,63,41,100,23,53,9,0,0,C3
49,0,63,55,75,84,97,100,100,91,75,81,50,77,25,81,0,C1
50,100,92,62,100,44,70,84,79,79,75,72,33,45,0,0,0,C9
51,25,85,48,100,100,97,92,76,65,57,70,33,44,13,0,0,C3
52,100,71,41,62,0,83,52,100,98,80,92,49,67,19,19,0,C9
53,7,60,100,79,76,100,24,71,80,36,84,0,0,14,47,50,C8
54,0,65,24,98,63,100,55,61,26,29,19,0,59,1,100,6,C2
55,0,93,46,100,76,80,70,40,66,0,44,15,51,41,100,39,C7
56,100,91,96,100,50,70,9,40,0,6,76,0,93,26,28,21,C6
57,0,68,47,82,89,100,100,90,81,67,58,45,34,22,13,0,C1
58,55,68,71,40,100,6,5,0,14,35,66,68,89,100,0,83,C8
59,100,77,53,73,18,92,60,100,84,74,71,42,41,16,0,0,C9
60,23,100,14,76,11,41,94,35,100,51,52,71,24,35,0,0,C4
61,42,94,0,60,23,30,86,30,100,61,70,100,69,50,71,0,C4
62,0,70,46,81,100,100,88,88,81,66,77,43,68,22,63,0,C1
63,76,100,59,66,89,23,9,0,0,31,80,62,100,96,2,86,C8
64,72,77,97,100,100,73,74,42,40,16,0,0,36,6,82,4,C2
65,0,37,29,60,68,82,100,100,77,75,57,51,45,25,45,0,C1
66,0,100,38,100,65,72,60,36,52,0,40,17,46,41,100,45,C7
67,50,81,74,100,100,75,75,43,36,20,0,28,47,23,84,0,C2
68,19,60,52,87,71,100,57,58,46,16,0,0,49,7,100,8,C1
69,100,100,53,87,24,59,2,31,0,0,50,4,62,30,12,32,C6
70,35,100,19,85,0,52,50,32,100,35,96,64,62,34,39,0,C4
71,0,95,49,100,83,77,72,38,60,0,42,4,49,28,100,29,C7
72,100,94,62,100,21,79,18,44,68,51,86,21,46,0,0,10,C5
73,30,96,0,50,7,1,66,0,100,42,86,91,28,100,3,57,C0
74,100,94,52,77,4,77,47,100,97,88,76,55,35,28,0,0,C9
75,69,100,31,77,8,53,0,27,27,3,92,0,100,20,39,12,C6
76,100,100,48,84,15,53,1,19,47,0,100,24,60,39,0,19,C6
77,0,55,6,70,54,90,100,100,76,75,49,50,24,25,5,0,C1
78,2,78,33,100,88,97,86,71,79,41,100,11,54,0,0,4,C3
79,26,73,35,100,100,97,78,68,46,35,26,0,0,31,52,30,C7
80,72,100,31,77,4,50,0,21,40,0,100,5,88,28,28,36,C6
81,17,64,38,100,98,94,63,62,67,49,100,15,42,0,0,17,C3
82,84,74,74,100,32,74,58,34,49,0,0,8,48,37,100,62,C8
83,0,97,38,100,89,75,59,37,25,0,8,12,29,41,100,39,C7
84,71,72,33,76,24,98,78,100,100,73,78,43,41,19,0,0,C9
85,88,82,45,100,8,79,63,77,100,68,93,25,51,0,0,12,C9
86,28,100,22,73,0,41,16,22,78,25,98,50,93,24,100,0,C4
87,31,84,60,100,83,85,66,64,100,45,82,17,42,0,0,0,C3
88,58,95,60,64,100,32,83,0,17,20,62,51,69,85,0,100,C8
89,0,27,23,44,63,72,100,100,86,88,50,60,22,30,9,0,C1
90,0,63,42,81,95,100,79,81,63,60,63,40,74,20,100,0,C1
91,100,100,59,90,29,62,4,31,15,0,64,10,52,37,0,29,C6
92,36,85,71,100,100,82,72,56,36,35,0,13,33,0,88,0,C2
93,70,87,96,100,100,77,78,57,76,33,72,9,37,0,0,5,C3
94,0,100,53,97,91,69,72,29,31,0,5,35,46,49,100,41,C7
95,37,93,0,65,80,80,41,100,3,65,100,80,92,39,47,0,C9
96,0,79,28,100,48,75,38,54,92,54,100,28,61,8,9,0,C3
97,50,100,41,90,0,63,3,50,80,42,100,57,59,29,29,0,C4
98,69,84,31,100,29,65,76,86,81,76,100,31,58,4,0,0,C9
99,100,100,61,96,33,73,11,48,0,21,24,0,59,15,17,22,C6
100,12,77,36,90,44,100,37,63,46,27,100,21,47,8,0,0,C1
101,100,100,81,99,48,74,19,47,0,15,30,0,51,25,8,29,C6
102,72,71,73,100,29,87,66,73,100,54,92,16,48,0,0,9,C9
103,76,85,88,70,27,68,0,100,62,99,100,66,90,25,40,0,C9
104,24,90,76,71,65,100,30,72,93,72,100,33,61,0,0,18,C9
105,30,90,0,53,1,11,55,0,99,28,100,70,63,100,18,75,C0
106,68,100,55,83,27,56,0,27,14,0,100,2,73,27,52,11,C6
107,44,81,72,100,100,84,74,59,37,38,0,17,7,0,65,3,C2
108,34,100,16,50,59,40,33,0,0,14,10,70,48,95,100,94,C5
109,0,97,49,100,100,95,89,60,60,28,30,0,24,36,77,39,C7
110,20,93,74,100,100,83,78,64,41,46,0,29,11,11,78,0,C2
111,43,100,12,76,0,47,57,36,100,48,93,64,89,31,88,0,C4
112,100,85,59,98,11,100,6,59,34,48,68,23,30,0,0,10,C5
113,0,90,15,100,24,67,11,34,2,11,35,5,67,2,100,0,C2
114,10,23,56,59,67,100,0,93,44,57,100,25,50,0,16,26,C8
115,39,93,0,64,4,15,46,0,86,27,100,73,62,100,18,86,C0
116,61,79,100,100,50,99,0,72,54,75,93,83,60,42,33,0,C9
117,0,76,24,100,58,95,53,58,31,26,9,1,54,1,100,0,C2
118,5,86,77,100,80,99,0,86,20,63,100,48,81,13,1,0,C5
119,86,100,33,81,66,67,100,91,99,65,95,33,62,6,0,0,C9
120,34,87,51,100,99,84,51,54,100,54,100,18,35,0,0,16,C3
121,0,100,93,100,100,78,62,40,33,0,13,5,1,39,94,43,C7
122,72,100,27,81,0,47,6,9,56,0,100,19,63,30,16,14,C6
123,46,66,100,82,59,100,0,80,41,64,94,56,62,27,24,0,C9
124,58,96,100,100,63,90,37,61,61,54,66,24,36,0,0,11,C5
125,51,91,23,71,52,35,13,0,0,30,5,81,43,100,100,95,C5
126,26,90,75,74,70,100,0,85,83,80,100,52,61,20,9,0,C9
127,18,64,42,100,96,86,59,56,78,48,100,14,41,0,0,20,C3
128,86,78,53,100,32,69,56,32,36,0,0,18,49,48,100,77,C8
129,0,90,47,100,86,83,66,43,55,0,41,3,40,39,100,36,C7
130,33,86,9,65,75,71,72,25,3,0,0,46,12,93,100,100,C5
131,31,84,67,50,68,2,0,0,37,40,100,70,70,100,2,82,C8
132,0,95,62,100,96,71,58,36,31,0,100,20,94,38,1,42,C7
133,0,66,63,77,100,100,80,93,60,69,43,45,37,21,50,0,C1
134,0,100,49,99,83,73,79,36,67,0,51,16,47,38,100,38,C7
135,77,100,28,80,4,52,2,23,44,0,100,11,51,28,0,14,C6
136,47,100,0,72,0,38,82,30,100,65,87,95,77,47,62,0,C4
137,37,85,73,100,100,77,72,50,99,39,84,9,40,0,0,14,C3
138,83,63,48,100,0,76,61,40,82,0,3,9,38,55,100,91,C8
139,71,95,25,88,0,43,15,0,64,11,100,50,87,95,38,100,C0
140,100,100,52,94,22,70,1,44,0,15,39,0,70,19,29,28,C6
141,0,94,45,100,70,76,32,58,86,52,100,22,56,0,2,1,C3
142,0,100,21,73,50,52,84,67,100,100,89,69,88,35,86,0,C4
143,13,100,0,98,8,57,80,54,100,66,71,95,48,48,34,0,C4
144,4,98,10,100,0,69,4,40,62,43,56,55,63,24,100,0,C4
145,0,63,21,63,63,80,99,100,100,80,99,52,99,24,96,0,C1
146,0,82,24,100,53,87,57,59,47,33,32,7,62,0,100,1,C2
147,30,83,64,100,100,85,64,63,98,41,98,14,48,0,0,10,C3
148,35,80,73,100,95,84,55,62,100,44,97,14,49,0,0,9,C3
149,47,80,80,97,100,100,59,89,29,63,54,33,40,4,0,0,C5
150,27,84,27,56,74,30,42,0,17,27,0,64,35,94,100,100,C5
151,54,86,88,100,100,99,64,89,36,64,50,31,32,0,0,1,C5
152,26,93,15,77,97,45,95,1,0,0,42,45,100,88,23,100,C8
153,0,93,40,100,60,64,61,20,55,0,25,30,57,40,100,42,C7
154,13,100,0,71,37,50,100,56,90,76,80,61,81,30,88,0,C4
