"subject_id","V1__1","V2__1","V3__1","V4__1","V5__1","V6__1","V1__2","V2__2","V3__2","V4__2","V5__2","V6__2","V1__3","V2__3","V3__3","V4__3","V5__3","V6__3","V1__4","V2__4","V3__4","V4__4","V5__4","V6__4","V1__5","V2__5","V3__5","V4__5","V5__5","V6__5","V1__6","V2__6","V3__6","V4__6","V5__6","V6__6","V1__7","V2__7","V3__7","V4__7","V5__7","V6__7","V1__8","V2__8","V3__8","V4__8","V5__8","V6__8","V1__9","V2__9","V3__9","V4__9","V5__9","V6__9","V1__10","V2__10","V3__10","V4__10","V5__10","V6__10","V1__11","V2__11","V3__11","V4__11","V5__11","V6__11","V1__12","V2__12","V3__12","V4__12","V5__12","V6__12","V1__13","V2__13","V3__13","V4__13","V5__13","V6__13","V1__14","V2__14","V3__14","V4__14","V5__14","V6__14","V1__15","V2__15","V3__15","V4__15","V5__15","V6__15"
"0","b","c","a","b","b","c","d","a","c","d","d","c","b","d","a","b","c","a","b","a","d","d","b","c","b","b","d","a","d","c","d","c","b","b","b","c","b","d","b","a","d","a","d","a","a","d","a","c","b","b","b","b","a","c","d","a","d","d","d","c","b","d","c","a","b","c","b","d","d","a","b","a","b","c","b","b","a","c","b","c","d","a","b","a","b","c","a","b","b","c"
"1","c","a","d","d","c","c","b","a","a","d","b","c","c","c","b","a","d","c","b","b","a","d","b","c","a","d","a","a","b","a","b","a","d","d","c","c","b","d","a","a","a","c","d","a","b","d","d","d","c","d","d","a","c","d","b","d","b","a","a","c","c","a","c","d","d","c","b","b","d","b","a","c","b","c","a","b","b","a","b","c","b","b","b","a","b","d","a","a","b","a"
"2","a","d","a","a","b","c","d","a","d","d","d","c","b","b","b","c","c","c","d","a","c","c","d","c","b","b","b","c","b","c","b","b","b","c","c","c","b","b","c","b","a","c","b","d","b","c","a","c","a","b","b","c","b","d","b","d","a","a","a","a","d","a","d","c","a","c","b","d","d","a","a","a","d","a","a","d","d","c","b","b","c","a","b","c","d","a","c","c","d","c"
"3","d","b","d","b","d","d","a","c","b","b","b","b","a","d","a","a","a","b","d","a","c","d","d","b","b","c","d","b","b","a","b","b","a","c","d","a","b","b","c","a","a","b","b","b","b","b","b","a","b","b","c","c","a","a","b","c","c","c","a","a","d","b","c","d","d","b","a","c","c","a","a","d","b","b","d","b","b","d","b","a","a","b","b","b","c","a","b","d","d","b"
"4","b","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","b","c","a","c","a","a","a","c","d","a","d","d","d","c","b","b","c","b","b","c","d","d","c","b","d","c","a","d","a","a","a","c","d","a","c","d","c","c","d","a","b","c","b","c","b","c","a","b","a","c","d","a","d","d","d","c","a","d","a","a","a","a","b","c","d","b","b","a","b","c","c","b","c","a"
"5","d","d","d","b","d","c","c","a","b","d","d","a","c","b","d","b","a","a","c","d","d","a","a","c","a","d","c","d","c","c","c","a","c","d","b","c","a","d","c","a","b","c","d","b","b","d","d","a","c","b","b","d","d","c","a","b","b","b","d","c","c","a","c","c","c","c","c","a","b","c","c","a","c","a","c","b","c","a","a","d","a","b","b","d","a","d","a","a","a","a"
"6","b","d","b","c","b","c","a","c","b","d","c","c","d","c","d","a","a","a","a","b","d","b","a","c","a","c","a","b","a","c","b","b","b","b","b","a","a","d","b","a","a","c","d","a","d","d","d","a","b","c","b","c","c","c","d","c","c","a","a","a","b","d","b","a","c","a","d","c","a","c","c","d","b","b","a","d","d","a","b","a","b","d","b","a","d","d","d","a","d","c"
"7","d","d","d","a","d","d","b","b","c","b","c","a","b","b","a","c","b","b","b","b","b","c","b","b","b","b","c","c","b","b","b","b","b","c","b","b","b","b","b","c","b","c","b","b","b","c","b","b","b","b","b","c","b","b","b","b","b","c","b","c","b","b","c","c","b","b","b","b","b","c","b","b","b","b","b","c","b","b","b","b","b","c","b","b","b","b","b","c","b","b"
"8","b","a","a","a","d","d","a","c","d","c","a","a","a","b","a","c","b","b","c","d","c","c","b","b","c","d","b","b","c","b","c","c","c","c","b","b","c","b","b","c","b","b","d","b","c","c","c","b","c","c","c","c","c","b","c","c","b","c","b","b","c","c","b","c","b","b","c","c","b","c","b","b","c","c","b","c","b","b","c","c","b","c","b","b","c","c","b","c","b","b"
"9","d","a","d","a","d","b","b","a","a","d","a","a","b","a","d","d","b","c","c","b","c","b","c","c","b","c","b","c","b","c","b","d","c","b","b","c","b","c","b","b","b","c","b","c","c","b","b","c","b","c","a","b","b","c","b","c","b","b","b","c","b","c","c","b","b","c","b","c","b","b","b","c","b","c","a","b","b","c","b","c","c","b","b","c","b","c","b","b","b","c"
"10","a","a","a","d","d","a","d","d","d","a","d","c","c","d","d","a","b","b","c","c","b","c","b","d","c","b","b","c","c","c","c","b","b","c","b","c","c","b","c","c","b","c","c","b","c","c","b","c","c","c","c","c","b","c","c","c","c","b","b","c","c","c","c","b","b","c","c","b","c","c","b","c","c","c","c","b","b","c","c","c","b","b","b","c","c","c","c","c","b","c"
"11","a","c","a","a","c","d","d","b","c","b","d","c","d","d","c","a","d","c","d","b","b","c","d","b","b","a","c","d","b","c","c","a","b","d","c","b","c","b","b","c","c","c","b","b","c","c","b","b","a","b","b","c","a","c","a","b","d","c","a","a","b","c","c","b","b","a","a","d","d","a","a","a","b","c","c","b","b","b","b","c","c","b","b","c","b","d","c","a","b","b"
