"year","0__0","1__0","2__0","3__0","4__0","5__0","6__0","7__0","8__0","9__0","10__0","11__0","12__0","13__0","14__0","15__0","16__0","17__0","18__0","19__0","20__0","21__0","22__0","23__0","24__0","25__0","26__0","27__0","28__0","29__0","30__0","31__0","32__0","33__0","34__0","35__0","36__0","37__0","38__0","39__0","40__0","41__0","42__0","43__0","44__0","45__0","46__0","47__0","48__0","49__0","50__0","51__0","52__0","53__0","54__0","55__0","56__0","57__0","58__0","59__0","60__0","61__0","62__0","63__0","64__0","65__0","66__0","67__0","68__0","69__0","70__0","71__0","72__0","73__0","74__0","75__0","76__0","77__0","78__0","79__0","80__0","81__0","82__0","83__0","84__0","85__0","86__0","87__0","88__0","89__0","90__0"
"1816",0.222931,0.04667,0.034306,0.023155,0.016075,0.013635,0.011632,0.009908,0.008379,0.007105,0.006012,0.005206,0.004646,0.004427,0.004549,0.004965,0.005607,0.006451,0.007522,0.008842,0.010293,0.011572,0.012514,0.012917,0.012702,0.012094,0.011233,0.010448,0.009886,0.009528,0.009457,0.009422,0.009541,0.009683,0.009842,0.009945,0.010151,0.010377,0.010654,0.010992,0.011382,0.011905,0.012534,0.013245,0.014073,0.015035,0.015896,0.016632,0.017431,0.018275,0.019113,0.020009,0.020938,0.021805,0.022643,0.023281,0.024484,0.026085,0.028318,0.031381,0.034519,0.038015,0.040926,0.043424,0.045379,0.046341,0.048574,0.052012,0.056869,0.063401,0.070814,0.07913,0.087276,0.095552,0.102569,0.108725,0.115656,0.124745,0.136486,0.138582,0.16529,0.182733,0.199912,0.215589,0.226804,0.229218,0.227298,0.2239,0.220459,0.221824,0.23527
"1817",0.217954,0.053905,0.038601,0.02709,0.018917,0.015382,0.012879,0.010688,0.008897,0.007446,0.006373,0.005692,0.005258,0.005087,0.005261,0.005733,0.006286,0.006908,0.007678,0.008618,0.009665,0.010502,0.011103,0.011395,0.011161,0.010488,0.009896,0.009451,0.009142,0.009127,0.009306,0.009375,0.009505,0.009712,0.009892,0.010084,0.010321,0.010576,0.010929,0.011388,0.011959,0.01264,0.013386,0.014102,0.014701,0.015227,0.015971,0.016843,0.017796,0.019084,0.020619,0.021935,0.023063,0.024036,0.02469,0.025205,0.026283,0.027886,0.030124,0.03323,0.03711,0.041062,0.044322,0.046853,0.048804,0.050327,0.052432,0.055483,0.059821,0.065711,0.073133,0.080646,0.087856,0.094663,0.101263,0.108151,0.115704,0.124366,0.134492,0.147163,0.163505,0.18004,0.196198,0.210375,0.219654,0.221096,0.219055,0.216069,0.214438,0.218591,0.233842
"1818",0.216629,0.06126,0.041421,0.028248,0.020125,0.01626,0.013648,0.011254,0.009242,0.00768,0.006525,0.005736,0.005332,0.005205,0.005386,0.005885,0.006484,0.007099,0.007791,0.008655,0.009626,0.010399,0.010839,0.010983,0.010738,0.010031,0.009403,0.009071,0.00896,0.009026,0.009357,0.009603,0.009674,0.0098,0.009963,0.010098,0.010304,0.010557,0.010848,0.011285,0.011832,0.012431,0.013076,0.013705,0.014215,0.014585,0.01509,0.015917,0.016907,0.018004,0.019379,0.020642,0.021626,0.022464,0.02318,0.023741,0.02471,0.026294,0.02833,0.031001,0.034306,0.037592,0.040726,0.043209,0.045196,0.04693,0.049218,0.052254,0.056182,0.0614,0.067917,0.074838,0.081504,0.087995,0.094096,0.100274,0.108162,0.117673,0.128078,0.138847,0.150629,0.164823,0.178994,0.191957,0.201226,0.20459,0.205642,0.205993,0.206558,0.210513,0.22097
"1819",0.234458,0.066978,0.04621,0.03009,0.021382,0.018137,0.01582,0.013597,0.011432,0.009419,0.007647,0.006274,0.005403,0.005052,0.005134,0.005627,0.006282,0.007003,0.007753,0.008623,0.009647,0.010465,0.010943,0.010998,0.010653,0.009942,0.009271,0.008854,0.008795,0.008998,0.009307,0.009585,0.009697,0.009678,0.009741,0.009854,0.010056,0.010389,0.010789,0.011272,0.011945,0.012613,0.01325,0.013851,0.014322,0.014628,0.015039,0.015714,0.016803,0.018107,0.019446,0.020683,0.021684,0.022377,0.022905,0.023406,0.02424,0.02566,0.027697,0.030202,0.03327,0.03628,0.039147,0.04178,0.04369,0.045425,0.047768,0.051017,0.055172,0.060476,0.067244,0.074571,0.081723,0.088148,0.094031,0.09915,0.105341,0.114261,0.12639,0.140177,0.14937,0.164744,0.180267,0.194394,0.20443,0.207506,0.207351,0.206948,0.207612,0.212414,0.226003
"1820",0.213029,0.0582,0.040766,0.027286,0.018908,0.016223,0.014479,0.012674,0.010843,0.008963,0.007136,0.005688,0.004726,0.00431,0.004448,0.004995,0.005698,0.006508,0.007395,0.008319,0.009311,0.010128,0.010602,0.010654,0.010188,0.009356,0.008659,0.008173,0.007976,0.00818,0.00861,0.008869,0.009059,0.009122,0.009129,0.009282,0.009557,0.009945,0.010461,0.011012,0.011597,0.012205,0.012701,0.01309,0.013341,0.013447,0.01379,0.014488,0.015646,0.017438,0.019483,0.021037,0.022261,0.023105,0.023494,0.023751,0.024556,0.025979,0.028201,0.0312,0.034625,0.037991,0.041073,0.044008,0.046509,0.048234,0.050597,0.053767,0.057842,0.062735,0.068603,0.075477,0.083076,0.090727,0.098029,0.105784,0.114155,0.124289,0.138269,0.157755,0.168302,0.18555,0.203755,0.221073,0.234234,0.23995,0.240791,0.239382,0.238169,0.239705,0.247466
"1821",0.213841,0.056375,0.041691,0.028215,0.019647,0.016199,0.013871,0.011841,0.009906,0.008124,0.006482,0.005228,0.004382,0.003996,0.004122,0.004656,0.005411,0.006228,0.007171,0.008205,0.009247,0.010027,0.010486,0.010598,0.010305,0.009628,0.009055,0.008689,0.008445,0.008357,0.00853,0.008598,0.008609,0.008659,0.00871,0.008874,0.009083,0.009497,0.010006,0.010616,0.011201,0.011794,0.012239,0.012575,0.012809,0.012955,0.013343,0.014005,0.014923,0.016162,0.017728,0.018985,0.019863,0.020581,0.021126,0.021562,0.022382,0.023704,0.025483,0.027854,0.0305,0.033322,0.035838,0.038271,0.040841,0.042916,0.045758,0.048793,0.052508,0.057065,0.062308,0.068274,0.074612,0.081379,0.0875,0.094141,0.100037,0.107209,0.116149,0.12928,0.143032,0.156978,0.172313,0.187874,0.200899,0.20828,0.211371,0.210896,0.208336,0.206898,0.208999
"1822",0.241128,0.05997,0.042485,0.029681,0.020692,0.016889,0.014165,0.011772,0.009788,0.008088,0.006686,0.005636,0.004936,0.004592,0.004639,0.005058,0.005766,0.006627,0.007605,0.008771,0.010029,0.010872,0.011239,0.011253,0.010883,0.010166,0.009499,0.009081,0.008898,0.008846,0.008945,0.009139,0.009299,0.009374,0.009508,0.009656,0.009734,0.009967,0.010378,0.010866,0.011438,0.011953,0.012292,0.012529,0.012674,0.012775,0.013123,0.01378,0.01468,0.015749,0.016931,0.018137,0.019139,0.019857,0.020579,0.021368,0.022396,0.023855,0.025824,0.028204,0.030976,0.033938,0.036605,0.038995,0.041302,0.043594,0.046556,0.049884,0.053653,0.058422,0.064384,0.07079,0.077269,0.084111,0.09098,0.097951,0.104581,0.111197,0.1193,0.129532,0.147622,0.161838,0.177752,0.194927,0.211247,0.223545,0.232437,0.238117,0.240458,0.242457,0.248853
"1823",0.221829,0.058001,0.039162,0.02657,0.019115,0.015853,0.013688,0.011537,0.009596,0.007904,0.006412,0.005236,0.004441,0.00403,0.004014,0.004378,0.004994,0.005888,0.006972,0.008234,0.00962,0.010634,0.011056,0.010971,0.010488,0.009657,0.008907,0.008332,0.008012,0.00794,0.008009,0.00816,0.008421,0.008676,0.008856,0.009096,0.009299,0.009429,0.009694,0.010083,0.010511,0.010952,0.011355,0.011675,0.012017,0.01239,0.01289,0.013576,0.014424,0.015345,0.016256,0.017204,0.018347,0.01949,0.020545,0.021816,0.023254,0.024789,0.026584,0.028729,0.031041,0.033441,0.036011,0.03837,0.040688,0.043176,0.046176,0.050021,0.054426,0.059738,0.06629,0.073326,0.080081,0.086499,0.092933,0.098897,0.105886,0.112777,0.119915,0.129091,0.147853,0.161456,0.176251,0.192101,0.207601,0.220151,0.230066,0.236739,0.239387,0.238878,0.239501
"1824",0.234507,0.062447,0.043943,0.02865,0.020021,0.016439,0.01386,0.011539,0.009442,0.007699,0.006326,0.00528,0.004572,0.004235,0.004273,0.00465,0.005207,0.005938,0.006891,0.007956,0.009074,0.009961,0.010491,0.01057,0.010324,0.009916,0.009521,0.009157,0.008779,0.008455,0.00818,0.007975,0.007932,0.008132,0.008453,0.008776,0.009112,0.009368,0.00956,0.009885,0.010292,0.010707,0.011155,0.011567,0.011927,0.012387,0.012934,0.013591,0.014382,0.015259,0.016141,0.01701,0.017932,0.019079,0.020214,0.021239,0.022512,0.024021,0.025711,0.027777,0.030253,0.032691,0.035166,0.037692,0.039868,0.042117,0.044952,0.048585,0.053186,0.058612,0.065247,0.07225,0.079086,0.084733,0.089294,0.093656,0.099245,0.107039,0.115777,0.126532,0.149193,0.166378,0.183023,0.197746,0.207504,0.20861,0.205736,0.201119,0.196808,0.19887,0.213775
"1825",0.223781,0.064879,0.045941,0.030954,0.021067,0.017267,0.014593,0.012154,0.009976,0.008052,0.00647,0.00532,0.004628,0.004411,0.0047,0.005412,0.006173,0.006901,0.007653,0.008436,0.009083,0.009564,0.009876,0.009963,0.009749,0.009423,0.009195,0.009017,0.008843,0.008633,0.008475,0.008441,0.008462,0.008601,0.008948,0.009318,0.009544,0.009808,0.010046,0.010321,0.010808,0.011342,0.011887,0.012478,0.012998,0.013456,0.014032,0.014632,0.01527,0.015952,0.016638,0.01742,0.018274,0.019291,0.020686,0.022159,0.023537,0.025213,0.027158,0.02931,0.031827,0.034453,0.036882,0.039321,0.041629,0.043495,0.046056,0.049505,0.054013,0.059627,0.066024,0.072871,0.079827,0.086341,0.090833,0.094303,0.099953,0.107716,0.118002,0.129186,0.150227,0.166908,0.183394,0.198587,0.210163,0.215765,0.219272,0.222698,0.226634,0.234259,0.25047
