subject_id,20__0,30__0,40__0,60__0,80__0
1841,0.013637,0.009837,0.011532,0.030726,0.157361
1842,0.012697,0.009409,0.012234,0.03216,0.170008
1843,0.011146,0.008892,0.011217,0.030431,0.165826
1844,0.010072,0.008622,0.010927,0.030224,0.165176
1845,0.009617,0.0082,0.01003,0.028676,0.156148
1846,0.011396,0.009079,0.010411,0.029548,0.160387
1847,0.011724,0.009786,0.011925,0.034266,0.180578
1848,0.011679,0.009645,0.011781,0.032578,0.173572
1849,0.012765,0.012534,0.015281,0.037234,0.176903
1850,0.008577,0.008716,0.010836,0.030621,0.162733
1851,0.00853,0.008461,0.010837,0.029842,0.172413
1852,0.00871,0.008654,0.011096,0.029203,0.167579
1853,0.009681,0.008517,0.010526,0.029337,0.177395
1854,0.015115,0.011741,0.014195,0.03614,0.185341
1855,0.021558,0.0115,0.012202,0.032241,0.190087
1856,0.015082,0.00953,0.01045,0.029121,0.157251
1857,0.010508,0.008758,0.01051,0.031281,0.164741
1858,0.009115,0.008457,0.010575,0.033524,0.173432
1859,0.012168,0.008592,0.01125,0.034892,0.17691
1860,0.009349,0.00771,0.009781,0.032552,0.166208
1861,0.009075,0.007828,0.009887,0.032546,0.159962
1862,0.008808,0.007752,0.009667,0.031262,0.156708
1863,0.008423,0.00771,0.010126,0.031442,0.156781
1864,0.008204,0.00822,0.010687,0.031896,0.16916
1865,0.009333,0.008917,0.011486,0.032491,0.167244
1866,0.008741,0.00925,0.011907,0.031142,0.163105
1867,0.008269,0.007935,0.010867,0.030308,0.164874
1868,0.009454,0.008613,0.011554,0.032218,0.17202
1869,0.009016,0.00892,0.011592,0.031765,0.169709
1870,0.017554,0.012852,0.014861,0.037299,0.204995
1871,0.034133,0.021808,0.022288,0.04246,0.208021
1872,0.009129,0.009312,0.011325,0.0297,0.160432
1873,0.009398,0.009075,0.011285,0.030579,0.168097
1874,0.008273,0.008331,0.010451,0.028839,0.157296
1875,0.00966,0.008876,0.011297,0.031259,0.167937
1876,0.009792,0.009071,0.01138,0.030898,0.167054
